name,category,A,B,C,width_basis,width_count,depth_dependent,typical_depth_cm,A_units_note,source,replaces,co_design_note
narrow_ripper_1shank,primary_tillage,226,0,1.8,shank,1,True,15,"N/(shank*cm); single narrow point","ASABE D497.7 — subsoiler narrow point","subsoiler 40 cm + 7-tool chisel plow","Single shank at 15 cm depth (instead of 40 cm subsoil pass) — CableTract performs primary loosening as a slow shallow pass that the cable carriage can sustain. Two-pass strategy gives the same total tilth at half the per-pass force."
narrow_chisel_4tool,primary_tillage,91,5.4,0,tool,4,True,12,"N/(tool*cm); per twisted-shovel tool","ASABE D497.7 — chisel plow twisted shovels","7-tool chisel plow at 18 cm","4-tool 0.6 m-wide twisted-shovel chisel at 12 cm. Half the implement width and shallower depth, run twice over the same strip if deeper loosening is needed."
narrow_disk_1p5m,secondary_tillage,309,16,0,meter,1.5,True,8,"N/(m*cm); per metre of cut","ASABE D497.7 — tandem disk harrow","2.5 m tandem disk at 10 cm","1.5 m disk gang. Lighter frame (no 6 t hitch survival spec) — body-rolling-resistance contribution to A is reduced by ~15%."
narrow_cultivator_6tool,secondary_tillage,32,1.9,0,tool,6,True,8,"N/(tool*cm); per S-tine tool","ASABE D497.7 — field cultivator secondary","11-tool secondary cultivator","6-tool 0.9 m-wide S-tine cultivator. Tilling depth 8 cm matches CableTract's slow-pass philosophy."
narrow_sweep_1p5m,primary_tillage,390,0,1.9,meter,1.5,True,10,"N/(m*cm); per metre of sweep cut","ASABE D497.7 — sweep plow general","3 m sweep plow","1.5 m sweep at 10 cm. Sweeps are speed-quadratic via C, so the 1–2.5 km/h CableTract regime gives substantial additional savings."
codesign_planter_4row,seeding,500,0,0,row,4,False,1,"N/row; row crop planter","ASABE D497.7 — row crop planter","8-row planter","4-row 3 m-wide planter. Planter draft is per-row and depth-independent; halving rows halves the draft and doubles the number of passes per field, but each pass is comfortably within budget."
codesign_drill_12row,seeding,400,0,0,row,12,False,1,"N/row; double-disk grain drill","ASABE D497.7 — grain drill","24-row grain drill","12-row narrow grain drill. Body weight reduced; the per-row coefficient is unchanged because it is dominated by the double-disk furrow opener cutting force, not the body weight."
codesign_rotary_hoe_2m,weeding,420,0,0,meter,2.0,False,1,"N/m; rolling pull","Grisso et al. (2007); rotary hoe with weight-reduction factor","4 m rotary hoe","2 m rotary hoe. The per-metre A coefficient is reduced from 600 to 420 N/m (-30%) because the conventional 4 m hoe is built to survive a tractor's hitch loads and has much heavier bearings/frame than CableTract requires."
codesign_sprayer_1m,spraying,140,0,0,meter,1.0,False,1,"N total; carriage rolling resistance","Grisso et al. (2007); sprayer with weight-reduction factor","tractor-mounted sprayer","1 m sprayer carriage. Weight-reduced rolling resistance: tank capacity is matched to the area cleared per refill (small, since CableTract carriages are light), eliminating the heavy 1000+ L tank assumption embedded in the conventional rolling-resistance figure."
codesign_mower_1p5m,mowing,360,0,0,meter,1.5,False,1,"N/m; pull draft only","ASABE D497.7 — rotary disc mower with weight-reduction factor","3 m rotary disc mower","1.5 m disc mower. The narrow cutter bar carries fewer discs (3 instead of 6) and a much lighter shroud, giving a 28% reduction in per-metre pull draft. PTO power for the cutting itself is unchanged but is now supplied by the carriage's own electric motor, not a tractor PTO."
